Team,Team Name,Organization,Location
429A,RoboBucs,Berkeley Preparatory SCHOOL,"Tampa, Florida, United States"
429B,Berkeley B,BERKELEY PREPARATORY SCHOOL,"Tampa, Florida, United States"
508A,PiraTech's,Palm Bay Magnet HS,"Melbourne, Florida, United States"
508B,PiraTech's,Palm Bay Magnet HS,"Melbourne, Florida, United States"
550A,AHS Robotics,APOPKA HIGH,"Apopka, Florida, United States"
550C,AHS Robotics,APOPKA HIGH,"Apopka, Florida, United States"
550D,AHS Robotics,APOPKA HIGH,"Apopka, Florida, United States"
550G,AHS Robotics,APOPKA HIGH,"Apopka, Florida, United States"
550X,AHS Robotics,APOPKA HIGH,"Apopka, Florida, United States"
550Z,AHS Robotics,APOPKA HIGH,"Apopka, Florida, United States"
727D,Terrapin Dark Red,Tampa Preparatory School,"Tampa, Florida, United States"
727G,Terrapin Gold,Tampa Preparatory School,"Tampa, Florida, United States"
727R,Terrapin Red,Tampa Preparatory School,"Tampa, Florida, United States"
872X,Theta,Suncoast Polytechnical High School,"Sarasota, Florida, United States"
1533M,Eclipse,,"Land O Lakes, Florida, United States"
1551X,Whiteout Robotics,Suncoast Polytechnical High School,"Sarasota, Florida, United States"
1644Y,Citrus Breakers,1644,"Sarasota, Florida, United States"
1957A,MHS Bulldogs 1,Marianna High School,"MARIANNA, Florida, United States"
1957G,Marianna High School,Marianna High School,"MARIANNA, Florida, United States"
2810R,RAMpage,RIVERVIEW HIGH SCHOOL,"Sarasota, Florida, United States"
3131C,The Inquisition,Eastside High School,"GAINESVILLE, Florida, United States"
3131N,The Nuggets,EASTSIDE HIGH SCHOOL,"Gainesville, Florida, United States"
3131V,Skobotin,EASTSIDE HIGH SCHOOL,"Gainesville, Florida, United States"
4100A,Millennial Falcons,East River High School,"ORLANDO, Florida, United States"
4100B,Millennial Falcons,EAST RIVER HIGH,"Orlando, Florida, United States"
4100C,Millennial Falcons,EAST RIVER HIGH,"Orlando, Florida, United States"
5245X,WHHS Technobotics,Winter Haven High School,"Winter Haven, Florida, United States"
5245Y,WHHS Technobotics,Winter Haven High School,"Winter Haven, Florida, United States"
5245Z,WHHS Technobotics,Winter Haven High School,"Winter Haven, Florida, United States"
5956A,Bangarang,TIMBER CREEK HIGH,"Orlando, Florida, United States"
5956B,Bangarang,Timber Creek High School,"Orlando, Florida, United States"
5956C,Bangarang,TIMBER CREEK HIGH,"Orlando, Florida, United States"
5956D,Bangarang,Timber Creek High School,"Orlando, Florida, United States"
5956E,Bangarang,Timber Creek High School,"Orlando, Florida, United States"
5956F,Bangarang,Timber Creek High School,"Orlando, Florida, United States"
6105C,Blackout Robotics,Suncoast Polytechnical High School,"SARASOTA, Florida, United States"
6260X,Minerva,MIDDLETON HIGH SCHOOL,"Tampa, Florida, United States"
6743A,Elevated Fear,LAKEWOOD RANCH HIGH SCHOOL,"Bradenton, Florida, United States"
6743B,Mustang Robotics,LAKEWOOD RANCH HIGH SCHOOL,"Bradenton, Florida, United States"
7293X,Phoenix,Phoenix Robotics,"Orlando, Florida, United States"
8471B,Royal Robotics,River Ridge High School,"NEW PORT RICHEY, Florida, United States"
9528B,RoboCudas 1,NEW SMYRNA BEACH MIDDLE SCHOOL,"New Smyrna Beach, Florida, United States"
10308A,Uram A,PINE FOREST HIGH SCHOOL,"Pensacola, Florida, United States"
19122A,Boosted Boi's,MONTVERDE ACADEMY,"Montverde, Florida, United States"
19122B,Toaster Timer,MONTVERDE ACADEMY,"Montverde, Florida, United States"
19122C,The Leftovers,MONTVERDE ACADEMY,"Montverde, Florida, United States"
24079A,WFHS Jag Bots,West Florida Technical High School,"Pensacola, Florida, United States"
31000A,Edgewater Robotics,EDGEWATER HIGH,"Orlando, Florida, United States"
31000B,Edgewater Robotics,EDGEWATER HIGH,"Orlando, Florida, United States"
34041A,VEXCalibur,South Tampa Education Motivators,"Tampa, Florida, United States"
34203X,Vexecutives,BRADEN RIVER HIGH SCHOOL,"Bradenton, Florida, United States"
54374F,BASIC,Professional Academies Magnet at Loften High School,"Gainesville, Florida, United States"
70857B,STEMpunk,Tampa Bay HEAT,"Brandon, Florida, United States"
70857M,PyroPigeons,Tampa Bay HEAT,"Brandon, Florida, United States"
74458B,West Florida High School - Ladies,WEST FLORIDA HIGH SCHOOL/TECHNICAL,"Pensacola, Florida, United States"
89815A,Fullmetal Engineers,Newberry High,"Newberry , Florida, United States"
91820A,Chiles TimberWolves,Lawton Chiles High School,"Tallahassee, Florida, United States"
91820B,Chiles TimberWolves,Lawton Chiles High School,"Tallahassee, Florida, United States"
97052A,Cyber Shock,HAGERTY HIGH SCHOOL,"Oviedo, Florida, United States"
97052B,Cataclysm,HAGERTY HIGH SCHOOL,"Oviedo, Florida, United States"